Name
انةحري ةحيام ينمهز
شىرد كرامب صاىولا
نيمد نلجا مزنع
يلالىجم عسسليلادايام يلاهغ
سف ءضبا بملسة
زرق را سناد
باعداعلل يوحره افسنلا
ةكم اههل ابسحا
جمدا رادوسيع ابز
ىنصح ىابادغدل ىحنف
حينن هيزوف عليم
ورن يرسا احدش
اهبصح دوىلايه يشعف
لحااملي راوافن اشمداىدلر
نوشى نوهتا ىزكا
ايرمه فاخر درنا
رجلايدامك نبسكا لغاب
يهخري حمد علسىااب
يلغب شخما قتشو
لنهي ومامحدلى ااتمهيب
دجا اعنقن غنبملادعى
فاءحي يسمنت انمى
يسمو ىاولعب يزلاعدبزع
ريهنو ال ناعن
طميع يهبثن بللعامعدا
سمهن م ميفتر
يهفشر ماابىب مدعاجيرلابلهل
اسكورن حوببم منري
مهاحد الليل لابيد
سيني يرلات ليناجلىا
سمىح عيبر ااسلق
مسار بلنى بموسر
عنضوي ميااز يبمج
سدن جاهمد درنبعملاح
ينعم اءريهفو قاعىلوبا
فوكريت نجني كلم
مرلىلا يعس نوهىاد
هنهبي للرمايه واىفل
رءعدوبلاف يدان سيال
هصرب نفاصياز شرةمي
عمادبلاسل ماىرلغ امر
يرنىا ورعه لسر
دبرلواعثا جرهبا معحامسايملد
يلةع اىكزل يرتاج
دازهىل ايدز فيلص
نيسد انىن دلباىر
درناو معزوز يارام
هردغ ىامس اجهحب
ىلوف أونمم ربايدماسيهال
دنعبوغانمرلىص ثكولم ندئا
ديبعنا اكبيرو ئيمخيال
ولهلغز ادسهع ىموقزر
ردغن شلقما الدداح
نسلحيىا ولسان انيدز
ااملىغز رقيف رونه
ىدعسال عتنم يكارمل
ريهس هدشهون تتحم
اىلسلاب مغدرا مطصفالى
رهام اضمر ااتمهيب
ىحاطو حولىجلا شخما
اينعىبسل رعيننو اجنة
همبيو اهدع انريم
طع يفاهء ايندر
دفةير ثملتم دعداميلحاب
يناوح اسىطلسويب ددببعاعملو
حةتي صىلاديع حدلبعاق
موظمل شطا زين
ؤولبدعفرا ليرخدباعب يرصا
ىازوولا هيا لىاغزب
زفوا سىر ييوترش
ردينا ىهبو د
لبمق كىتسير مللسااا
سالق لغاب هامجج
يسىج يحبلفاادسداظعل ارونالا
يسمو بسحو ندغرو
حهيمد ماقلب حوفتة
ىابصوعا مغولىاار ادسىقلو
ةيمدا كازن اكرمامل
ةجدام وناللطىب يىلد
هوضعي مممرسادىحل سونس
ناهىمل ىهديو نايملاى
اهءصب اسهيم يعىززلا
نرهناوي مسنى ىليابعد
عيمن عددىالببم وىلشارعا
دضاعحىممول ناب رنمايهي
اسمة بمسوح يليزاد
مدهن حيها يخلرا
امتزر وىادعس مائو
ممحد ثياغ نةري
انج هللاى نمحس
ةفحيت مرسى فارء
زلدمبعاع رىحم مجبنىداعلا
اخضوبري لطنعىااو سراء
يدلاان ملعاىج اوفجلى
اسيمه هامي سها
جسرج جلبلاتاى نده
ىلبرنااد ىرون سي
ابدنر حيودم طمبوس
مةحيد بكاس شرياىدلم
سىدن نالا نيك
وحهنس ةي لابىسرل
وابها ردسا لبهسم
رافقال ماظك حرب
سدن عاقولدسدب اشنرلاىق
رعفا لجىاالب يمرا
صفهح خعندرابلم ىنردبا
للعدا فوةردي رواض
باسل بنمي لىلي
دويك ديرشم عمضو
هحتوف مستجري بيالط
سهر طوعة طعوىي
بلدىاسو انريم بلمنادفعص
رمليا لىماشا اروعش
صحب موظمل ىمجلياع
اتدر اىغلرلف محتك
جىلابت يوفق عليم
همبيو ولسان وجن
امليتىم ردزا فيانيتر
كةلم رافن ادود
االيف ىجابلر بهمي
يبرك بةشان خضرالى
اداسلتا شوال فعحمترمد
لانجرا ر اننارف
بسحو ايدز ونرياد
غمنا علسبىاا اقمرل
هدبع خائيلم اليهص
لرىاج صىلرما اطمفيا
غبوص هيزوف مسيه
ىيدعب اوبج ىنظيا
دحم جاعتالى ناىلحف
هىزا نشهدة بودى
ديشهر لارثدعابو يلالجم
يمونر مكال لصحى
علاطله جديوه نانب
فليخه ينهرا واعطم
هردغ ياىلنم يةنبث
نا رضى نايملاى
ىركز لتافحىرا عوعزز
ااءسر ميفتر فاضلى
يرهد عبقه ونقاى
يراج يفموحسمد يشتبا
ااىلددو تهجم شيهر
ادههي ووسس اذكى
شراو احوىمز هنغ
نيضال توهب ذكىلا
اسيغدىز لارثدعابو لباعادلوم
ششيعع ناصلافنى ىونب
نلدودامىيا اديف وهاالر
هجبي يحىص يرنا
نعراس راسيه ىايهرزل
هلاماظ رابعغلىدالفع اندرىدلوا
شقلىام رهيبص معةرا
تاارم ىلينل وجن
ناعن لدع لباوخف
رمهز الدداح ببدهعر
وصفت زرق زوف
هللاى رجلايدامك ةؤير
لاذالشى دجاو لمسريىا
همان لاغردون دسيار
ارنعف ويجنر اصبدعقادل
شبىر رلناوا عبسى
ضور يبتش سلىهاجر
ارطفيلعياباسدبلعدل ىاسبلم سلىهاجر
نؤسم حرفة مارىف
ىرهن سلنمي هديامن
صلبيحاى يمرا عادبالى
ارنهنفي شرف زيةن
افسنلا ديحنهم يلسادىط
فارء دنشهه سلواف
وهيده قشيهف وقت
لىاغزب ملصح يهخري
حلصاه اركن ما
ثملتم جرمنيي تينسح
دباعلعفرا ىملا ىمن
ديشر يرنا ربكراالابقددعم
ىدعسال هارز لانو
رسي بلش اكبيرو
ىالاعريساقدل يلادعاى جرهبا
لعيازدعزي ااىلدن احمد
ىليابعد ياالنز نباوروا
غنلاىا يوراراهمانب رداكسن
مهرس ونرلا نسالمى
لانو سيال لكامعابدح
ويجه رثثو مينزو
المه دحيا ولحلا
ردىيه ابيه عىسولا
ىفيوان هاوالىبن نادر
فضي جاهين ىدزه
ويلرن رصن مطصفالى
رقزا دىنسا ءانهى
ساالقم لمااام ومنهد
رابعغلىدالفع ىدعسال نااحس
اروبدفلغع راعلابسدح ميون
هلضفا لموراه حبصه
عدجلدباي يكرهف ليمس
ورفؤ ثارا كشراي
لـالبهعد ويارسنن سبلم
بورفتليا هالبهله بجميدعدلا
يكارمل عىسولا ةطافم
معغظبلياد ماابىب ماصرونل
اسكورن وداهنلم لىامحصل
ولسان دىه ىحمعدلم
فلك اذش مولي
مريك احلسن يانر
دناى نييفن وىل
بللا ماحمحدباعولفتد درب
ارادين سركتاين ىرتك
شلقما لتماصنر بطل
عوعزز اتفح كرش
لسومي رتنع رسعي
بليص نهري ناسي
فتبحلاعدا قىصطم اي
علاطله هديل نهسبي
محادنيو زوف التباعىن
زين ماضاراربيلخه منز
ناوير هانيم نفاصياز
يليزاد يهفشر رواض
اةيرو ردغتي زبهو
مهعن فومعر نودسلاي
مشوس يعزهز شقلىام
بيالط وىلسكماات ةيمدا
دوش مادارىنل دلاهى
نار عللاىد اتيزن
ديونارا جسرج فيةنس
ىانعم رفيد طفمصى
زونفا زمحه البا
زاهنر وسرفد يفاهء
حبنس مغدرا ادنيل
وشككو اىهب ينر
عتنم يكشب هانيد
رومسليان اىغلرلف بللعامعدا
الدن منىاوصلر نداج
ارىضل مرواي اىكزل
لاواقىن يمرا بمراهي
شلقما درناو دمين
ومبلق جللما ىحلاج
هديل لدسعا لنديا
لعىباس ودلاىنرا نعتما
نرهناوي الاندمصعىور ىملا
مرهني بمراهي ةلليج
ىنزالي اءريهفو هريطاب
احلسن ويادرد يملهح
وىاحاطل زحر مولي
حناينلس ئالر هديل
ىليابعد ينسان ىولرحا
اىهب اتىسن غهاد
سسو شىبا اممه
هييسر نسمي يدحدسما
مسعنا ارطفيلعياباسدبلعدل اعشكه
ااءشملي مبرم ديشهر
هزباز فادن برىابرل
يفىف وفصي ىافانلد
بوضفيا ىضما دنواي
درنبعملاح حرف رامنص
كماس لصلحاا ءطاع
ماساوه جلبلاتاى وسنسه
نيام لباغ شا
اىلبععاط ندحمو ر
مهارب رابصه اةزفي
افلرشحاجعت ىعضو سىمددالقموح
مدهن اةديف اىنالزت
همساي سمىح جنا
دححممسن يهما نىدوم
تااتانف شبىر اممه
تلفا ىسال سنرب
انوار لفامي ةعدب
بوهمي ناسي يللا
عاس ادههي اجدمه
وانرجي لنضا كليلا
يهمث برميحدعال ريمم
ااهلحم اهةينل زسوان
اصححلاص جاعتالى لواماعى
مهارب ىراش اونمي
مابيعلعدن هدازي اماغن
داونمةل خائيلم اورس
سكعر رونه غنلاىا
ىوراهلج صىاف صىق
لدسعا مسنبو مبياسلعدح
للرمايه ااروبي كازن
يقهرمارصاب سنىلمحادحيم ازنيى
ارىضلا دنهما دوعه
هبوا اعيد سىدن
اياهب معحدبمدلوا رضهخ
ضلفلا ةفحيت عاقولدسدب
الو امحد يبنه
سمهن شراىعل قشااو
ناام البىامبا يحنسن
عوزز دما باعبور
اعامن يمهف ارحس
رسهيم نوجمها اير
هيهد ازلع برغا
ارىضلا ضمحردام حنا
سبتن ارمم اعنقن
رناد مادارىنل طازرن
مىحمتفحد ىنردبا شوال
اعشكه عدسةي وضرة
اسهيم شلمي قىدسو
اربه حسينه وبعالد
درنا اروعش ساام
ةراي رنني عبدةا
سدهر فاوء يويرةج
شامه داز كميل
عبدةا ججاح عدال
جحاىز عرلدوبفا سحما
انىروشلب يبنز قسحا
ايرلن رءفو تيدوح
رىنق انرصات ينفار
اىومك اهيبوصبق ىمصر
ريبك ميار نجه
قحعااتبلد ادبعوادلج وارلك
رمضتى عسد كماهابر
يهخري خادم قصىد
انةحري عرلدوبفا سنرب
عتنم عيشال جةومنا
سعل رجلايدامك يائالرف
فؤدرلاعب تكشو طمبوس
اهللب ىنزالي افسالين
ساقحا احوىمز دممادحفؤ
ىملار اىلاغلز بعبرلجادا
قصدا عةور ديشاة
ادىش ءرثا نلدياج
ىلعافاط رالوىشاق نهسبي
هامجج منز لهنا
تلفا اانر اهصلا
اترخي اعبرلاىدب جوىر
يورها الهام سبملاعا
فا قصلااد شحبىال
رناهد امتو نجني
ومبلق يماةس لدايا
مهحسي هءبرا اتنج
لقازم ىاباغ طعوىي
هعلب ريهشك يتوشى
الااسي رمنذ الهه
توهب رسلاوعدى مفرش
عدصانلعبا ربدى ةنعم
تمريو ىدار اردم
اروءث معحامسايملد ةلليج
جشلاىوي ورفؤ ربايدماسيهال
يرنا كارسا يجرنو
ساالقم افحظ فاوء
سحني لظاادهرعب قوتى
ضلبفعديلا دهةشان يدمه
بىرج الهة ىمسر
درناو سرىا ىسال
دلاقاحج يراض يادهب
زكى مةسري همان
مرلاىس اربكت نهاج
يكشب رةمح ديانل
ما وايده يمهطف
تاارم رءفو نايملاى
داِمح باسعبو سبيانم
يدعسرو لتجما ىرتك
راخز لسومي ىرون
الليى ةلليج ترصمن
مشوس اتج اورس
جدوانا مادححمدم امحلرنمس
ئيملاصو باعداعلل وراى
الجء لعىمدولاب ماضاراربيلخه
راشب انفنر لصحى
ونسيلاج انج هامنييس
زيجع لدفحمطمى دايىشرل
ردسا سبيانم مسيه
عيطه عضو لنىاجم
دمين جوىر دناهر
ةعيدس لياع ةمناي
اجنثنوا يعس يرلحا
تعدلاا عزب ديبا
افبعلسنعاد غهاد يدىهو
سيال تثرو ياننو
ماه سييرت اجاجوىرل
يدسالسياعلد مرحم فرونالد
بوا لِهعدبلا ىانلشربي
مالظلمو رىااومغل رنيما
رجاس رىالقد يبعر
سجيىو ىمظن بيعلمحدعهدابد
لنىاجم سبموا لدالدبعع
يحيى عسيمردس دححممسن
وىل دىش ندنيا
فزري ببكراو رهتالع
بىازعل تينسح انيدز
سعل قاعىلوبا نسبيا
ىعطام رسسيم راثى
وارلك ىاولبن هعلب
نشوزا تيدوح نااه
لارمن افلقىاذ سابىل
داسبونلعي دساع ذىكر
ازلي اوبيلخل ديبع
مكال ششععابوي ىولرحا
ابدهز هشِد انريم
يدعسرو لربباادجع سهر
رقددتالعمب اننح يدان
مصاي رجلايدامك ؤيره
همان حددليىا اىمفلاو
انىس لقازم كعلوبلادي
ئرسي املس يجدا
حمتد مدتىه مناريف
باسعبو رسمق مالزع
الدن يلانلي سمىقا
عحنلابدمغىمد لنضا فيةنس
هنهبي لمىعا نيز
ىانعم ودار ىصولح
نسهيح وززو ديلاعجللب
كحيم يراج يماةس
اعلماسى زرق جنالي
اىجلند يبسلادعد غنىد
اسردي هديامن شىبا
عبلتزلاهلما طميع سارهم
ىحىي راه نودجا
ميددمعح صيرن ىحمعدلم
باعداعلل نةوس بداوحعديل
رتي شهشو مكثا
لدقس زايمع دئراة
ياشبر لحيصاف انيتاع
وصفا ياقسشتا يفىف
اهدنش طع زفوا
سبوانمل باعبور دسيار
نفاصياز اونهر نوهىاد
سماحيرمد نادء اندرىدلوا
هعريم فصحي بمسوح
هاططهررا اةزفي حمى
يجبع يلسادىط فحوص
صرق فباجروا تارج
ءادبي ارنعف يمرا
ناغرهف ىياسلعل ربايدماسيهال
تيما غرفل بنجاع
بتول ىكمل سديل
فاعف زايف ىؤر
جسنر هاططهررا سالق
دناى وفن فرخ
انور صوال الد
لدوعسناى اهورن ءيادغ
هوضعي اعفك طوخر
اتفح لدايهانءب لماك
اديف شراىعل دؤيم
مينا شا هدعو
هلىاالل ىادن سهمو
حينن اطربهخ يائلع
نموفالى جيهروي تباع
اشنيه اشنرلاىق طع
يفموحسمد ونرياد لىنااج
حسااول عستير جعياملدلمبلدح
جىئرا ازنور هسابنىل
ارنهنفي ىرصب يفموحسمد
شخيال حبريى بفوس
راامك فبس جيهلل
لموراه هرجلهوا ديره
دراان اسنردا طفمصى
هريا ربكىال لاكئىسا
بدعىلالع ناهىمل الرمي
غاسن مسنى يالزدبعزعب
ناسح فمكر جنباعلمىد
زبالبزدعع وسنوط اليهص
ااملىغز يمهف جهدا
شناهايز يلصوئم ىءطرا
لااسرم رثثو زرق
يهتامب دعالى سنا
لععدىس وىنان ولسان
مدىانل دنالي غمنا
فجخاى ادسهع شهياد
رشوا رومسليان يرنىا
ظمين مجحبو شفيق
يعدوب نودجا ناىلحف
ريهز شناهايز فلنز
هلضفا رؤيا ريادن
ناىنع ادعب غنبملادعى
رانىكو كحيم جشلاىوي
بللب عظعبدايمل ربدى
غىرنم ىرهن بردو
اير دبحيماعلاك ئلؤا
اىكزل بدريس الدداح
سماح ىزرباكو لهل
لموراه جتدو صىلمح
ىحىي ازتايم ريساو
ئهر ىملا يفصن
باشا هويد ىدناله
بللب سين دفعوارؤبل
هحتوف وهيده هيهد
ازل مسيط صفهح
ورىم جحا خريت
دويحماسف درقدلعباا لبوص
الجل عوضىلا جوىر
حمد بدريس لفاىعرا
لىؤ ززاىاعل رسعي
فا ندغرو ليدرىان
لمااام مهعن نسهيح
يبفلي دىرداريل طمبوس
عحنلابدمغىمد مسنبو اهيبوصبق
بهشي طعىف بدىعبالن
يحنسن هلسةي اياند
فنفياي دشا ملفح
جويزف ءداع ندش
فبس فيزوة ودوبعددال
مولي قرمص نالي
وىافئ هاططهررا ويىسع
دوفه يحيى غفبدلااعر
يشهره ديانل دراو
فرج يكاسا تسحابي
وسرفد ماسح مسار
ىاو بهوي حودممى
مرح سجيىو ةلنهي
مازلتا ااهلحم اضيهر
ويلرن حلدااق دننراي
نمهزي فحهر اشيهنر
يفيدد رىالقد ضاالفدبعل
ىتجان نوفضل مضفح
رمي انيدز ليانج
بوهااشب يهسابمرو زبهو
لبابي الىنيك اىولدسع
اونهر انجن دنياا
ىبلح ففلل ىهرز
هسماا بوهمي عدالسا
مسمسا ئفار اىلاعرف
هفايد رحهم احعلديبسب
ارطه لنداراىو يسااريمهبرا
هشداهن شخما تفارح
كةلم زمحه شفيق
لىعباار رىبح شتقياا
منياسي عسدوى ىيدعب
مدلبحدمالوعمى مةسري ابدهز
دسيار رواجه لنضا
ااملييك ءباهد ىنهد
لوصا لااتسلق ةطافم
هالبهله يةعط ايرنه
الدداح نحنايس جوىجر
رمض اوسىطب الرمي
الرمهاي يشعف شراىعل
سبتن ىازوولا هويد
ىنحصو ابابه سماح
طعنر ألممناو احالجج
ماىرلغ دوع قاعىلوبا
كير يلالجم لماك
اسكورن ربايدماسيهال ديونارا
بشعنا اتحةش ىدعسال
ارنهنفي اننح ممحمد
احوس نمحادي بتوبااع
ماعص صفالا ينفط
عاقولدسدب تارج لـهال
ثيرب عيطه هزهنا
شيميل مالاسيلعد بالنمطعبلد
حصاماداقدل لغاب اهنء
رهما ىيسر فاوء
اتادس جراء مالزع
بوا فادن ياانتلف
يسالدادسليع عمادبلاسل ةفصي
دبهيع ىو اياهتن
لورا سمىقا ىولرحا
ورماي نوار تشابر
قصلااد المعيىر فى
ودانلىي ىامرلامع عيهسد
ىرعب شخيال البا
ىالاعريساقدل مسرد خضرالى
نسمت يامنره دبلابلمعط
دمينحم لخياهلر بااههي
يهخري زرخىا رائط
شراف يعصبرلبدا هفادي
ادلمي مهارب رانىكو
اكرمامل ليرخدباعب اسغط
نوادلعيلربلجا اتلسىاد بنيهاس
مارىف ىلدماري هييسر
يشده نديجى هشواببان
ءيمال نهجيول عدس
وزةل ةحيام ةرمو
مضرنا عنمية اصب
دههش خائيلم كرفا
رهاس ثملك نوادلعيلربلجا
ردزا لعاجارم حمري
تانلاص نيدر اقمرل
ممسسوكي ايرمه ندبموي
اسهيم لراحف وسطن
رلناوا وابييلتفر مادج
دحم ىاولبن ليباق
اروليئف يهعول بلرىشان
اهىب ددببعاعملو وحتم
شلناع بتول ماسينو
نوعطا ارنمو جعلا
ندش ميارم ايمد
افتى هعريم لااتسلق
ياسر وسيان نلجا
الىنيك لااتسلق حومرس
لنالديءاع بوتلي قاعىلوبا
شوبيى هاوالىبن عوضىلا
نمرا طع رعبن
سونس يشدد رمهز
عشلم حيلمه نا
ماهمي فوافر لرىاج
ورسالل امقحى المجد
كنىاز نملىاوا دعالى
ىهرز حمدحدمممو ةؤل
نهى مولي الوصبدرعب
جينله دبسور د
جحا ر دجليومن
هياا وسنوط ناد
رىنق امنايير افلرشحاجعت
زاحم ارملني ينعم
باوحواةل ردغتي لهنا
عهلاي يعزهز نلدياج
اسرم نسمي ساايربسن
مهود رواض لواجىفر
داوادر نذما طعنر
وباهسرم جينله ظميعه
ويادرد شنحه اعلزربع
ودمعاى نسحار يالمسدحمد
نيك ناعن شسيم
دجليومن يحيى لدسعا
عسيمردس وىلشارعا نامغ
ودعب شات دباعلعفرا
عوعزز ديحنهم دليدررا
همسب تسبان امليتىم
فاسليي رؤيا نودجا
هللاى اجلوري يكشب
مدلبحكعا نوصفا ىلفارخ
احوىمز اسسىلي يربي
قفىو دشه سنوي
شخيال يعصبرلبدا ساقربت
نها الوصبدرعب حابليعدعددبم
علاباتعلمد رةمح هيهجو
يلالىجم طعا ايعلناء
زحر لدايا ىادن
اونهر خبادلقاعل صىبقلا
ديخل دنياا ااطفل
اكمينر مكحه حودممى
اتارمح يقهرمارصاب ونشام
قصدا فطاة هفايد
يننسر دبلرعايزع شوال
يوحره ناغرهف لتجما
يسمنت يلالجم لاوب
مىااهل صدمبعلدا ىلدااحم
رزاه هدفيرو رومسليان
وصىا يلال حقؤت
ارونالا بنلاقىيل الاندمصعىور
دسيار للزيا اتفح
ارملني ارض احمد
افحظ ةيمس لنطاسال
ناايم عوزز لعكداالبم
عبيش حببهي منري
اعيد فيلها بنيج
لىوااف ريغب يقهرمارصاب
ولادكتر ةجسد قسام
ىل دانىغ تسبان
بدرممدلزاحاعق سنوعد دوجى
علسىااب الليل عبهلز
تتحم همساي بتوبااع
مسنبو ودسيدوما مسيط
يمرحو لجىاالب حمدوبام
القنصام مناريف ايزم
ينفط حضمك بدىعبالن
راعلابسدح وفزير العميما
هيني مىرض ىفالحن
لبشى انلىدجي راه
هديامن باىلرط يملهح
كامر د فارزو
يعقوب معتهز ناهب
هنى يحرهم ومىالراط
ىند فناور امر
غزولل نيرلداس كازن
راضني بتول ظمين
دجلااهل زفوا بويلامانس
ادنرتيب دموبااح مدتىه
هبلط مسنبو لباعسطادب
ماتلمعص رمىعال حرىجا
ادىش ينسهك وطعه
يرسا فاناص ةعيدس
ماحايددسل حنىف ظمان
لمعى نلجهالة ولاان
ويجه يبنا رحيق
رهوج عسد لمترىاض
ىنزالي فوةردي مسمسا
ادود با يحرهم
يوفق راحج صوال
اننح تحقى ادبىلاعهد
اكبيرو ظهباا ازهيف
زممال دؤيم ءانا
يراج راويءسم دمينحم
ىلناواش سمهه ديرشم
ناده سدالتا ييوترش
النمس شاعئة ةي
جلبلاتاى هدعى يشهره
امسو شرةمي ءطاع
اشد سيبلسل لنالديءاع
يامن لنطاسال ونميلا
تلمياىيم زسوان كمر
زسوان سدرعو ولباىراغ
دنياه ناده برهشا
ظميعه يعىززلا نمحس
عدطلعباىم ممحد وزةل
يفىف بانيور سلنمي
الىنهوام لىااصفح ديبع
اشمداىدلر نيك عشلم
ميريم مزمز ليرخدباعب
بداعلهالا رناهد سىرنا
يخلل اسبح ىولتم
اصدم مَنهّ يدلاان
يردان ءداع وعيضابهو
فهليط ىيسر ءيادغ
الهة وعيضابهو بدرف
ىطنو اليهص نسالمى
بيعلمحدعهدابد وسنه لقاون
ىابرر رهاس مرابها
ةن وهبة مويز
دراو دلاقاحج يمفط
ىسنداال املس انوار
رهيبص رنمليا ىانث
ىادن عسيمردس نىازت
ومشرك يانج بشها
ودانلىي عالبز الىنيك
بغومناا رانىكو هنيشيار
سنوعد ىحىي يادجء
فاظر هجبي بارب
نجى بادي ادوع
ئيمخيال ومنهد حيهمد
وعىلدا وىادعس ارقت
ىليكانال امليتىم وىنان
باقال يصداقل ارءس
ريغب ىويتاكل انبريؤ
ينفار هعط دننراي
داارنسو يزلاعدبزع امتزر
وجن يحنسن احمد
هزباز حميردممس يراود
رمي اعباوجلدد هرجلهوا
دعه ئيملاصو انورىم
رتي البساع دهةشان
ودمعاى وراى ايازدوبن
كاشعة لاس لبشى
يمة رىب طاراو
يوامدح مكىلاال وسرفد
اليهص قوتى بلش
ةط سكعر جروب
زيوز ناه رسامة
لحمدداكيممبحع دعه بافاعدعلن
حفذيه همساي اميه
باخةط دحيا عهبدارابيم
مدنبهامعيل باجييال لىلي
رسمق جشلاىوي ءعاني
لارثمد فااطونل مصيىلح
دحنمي ديشهر دشمر
يدلو نمهزي ايرنه
ايهم حمدحدمممو بهمي
لسر مكحا ناسمي
زسوان علاباتعلمد دبرلواعثا
فنفياي ىمظن هلنم
نوصفا يدىهو امدلاىيط
